"163056 - RawData - C:\Users\User\Documents\Marte\Analysis\23-022\23-022A Trial 2.spc"
"Wavelength nm.","Abs."
292.00,0.079
292.50, 
293.00,0.078
293.50, 
294.00,0.076
294.50, 
295.00,0.075
295.50, 
296.00,0.073
296.50, 
297.00,0.072
297.50, 
298.00,0.071
298.50, 
299.00,0.069
299.50, 
300.00,0.068
300.50, 
301.00,0.066
301.50, 
302.00,0.065
302.50, 
303.00,0.064
303.50, 
304.00,0.063
304.50, 
305.00,0.062
305.50, 
306.00,0.060
306.50, 
307.00,0.059
307.50, 
308.00,0.058
308.50, 
309.00,0.057
309.50, 
310.00,0.057
310.50, 
311.00,0.056
311.50, 
312.00,0.055
312.50, 
313.00,0.054
313.50, 
314.00,0.054
314.50, 
315.00,0.053
315.50, 
316.00,0.052
316.50, 
317.00,0.052
317.50, 
318.00,0.052
318.50, 
319.00,0.051
319.50, 
320.00,0.051
320.50, 
321.00,0.050
321.50, 
322.00,0.050
322.50, 
323.00,0.050
323.50, 
324.00,0.049
324.50, 
325.00,0.049
325.50, 
326.00,0.049
326.50, 
327.00,0.048
327.50, 
328.00,0.048
328.50, 
329.00,0.048
329.50, 
330.00,0.047
330.50, 
331.00,0.047
331.50, 
332.00,0.047
332.50, 
333.00,0.046
333.50, 
334.00,0.046
334.50, 
335.00,0.046
335.50, 
336.00,0.045
336.50, 
337.00,0.045
337.50, 
338.00,0.045
338.50, 
339.00,0.044
339.50, 
340.00,0.044
340.50, 
341.00,0.044
341.50, 
342.00,0.044
342.50, 
343.00,0.043
343.50, 
344.00,0.042
344.50, 
345.00,0.042
345.50, 
346.00,0.041
346.50, 
347.00,0.041
347.50, 
348.00,0.041
348.50, 
349.00,0.041
349.50, 
350.00,0.040
350.50, 
351.00,0.040
351.50, 
352.00,0.039
352.50, 
353.00,0.038
353.50, 
354.00,0.037
354.50, 
355.00,0.037
355.50, 
356.00,0.037
356.50, 
357.00,0.036
357.50, 
358.00,0.035
358.50, 
359.00,0.035
359.50, 
360.00,0.033
360.50, 
361.00,0.032
361.50, 
362.00,0.032
362.50, 
363.00,0.031
363.50, 
364.00,0.031
364.50, 
365.00,0.029
365.50, 
366.00,0.027
366.50, 
367.00,0.027
367.50, 
368.00,0.027
368.50, 
369.00,0.026
369.50, 
370.00,0.025
370.50, 
371.00,0.024
371.50, 
372.00,0.024
372.50, 
373.00,0.023
373.50, 
374.00,0.023
374.50, 
375.00,0.022
375.50, 
376.00,0.021
376.50, 
377.00,0.020
377.50, 
378.00,0.020
378.50, 
379.00,0.019
379.50, 
380.00,0.018
380.50, 
381.00,0.018
381.50, 
382.00,0.018
382.50, 
383.00,0.017
383.50, 
384.00,0.017
384.50, 
385.00,0.017
385.50, 
386.00,0.016
386.50, 
387.00,0.016
387.50, 
388.00,0.016
388.50, 
389.00,0.015
389.50, 
390.00,0.015
390.50, 
391.00,0.015
391.50, 
392.00,0.014
392.50, 
393.00,0.014
393.50, 
394.00,0.014
394.50, 
395.00,0.014
395.50, 
396.00,0.013
396.50, 
397.00,0.013
397.50, 
398.00,0.013
398.50, 
399.00,0.013
399.50, 
400.00,0.013
400.50, 
401.00,0.013
401.50, 
402.00,0.012
402.50, 
403.00,0.012
403.50, 
404.00,0.012
404.50, 
405.00,0.012
405.50, 
406.00,0.011
406.50, 
407.00,0.011
407.50, 
408.00,0.012
408.50, 
409.00,0.011
409.50, 
410.00,0.011
410.50, 
411.00,0.011
411.50, 
412.00,0.011
412.50, 
413.00,0.011
413.50, 
414.00,0.011
414.50, 
415.00,0.010
415.50, 
416.00,0.010
416.50, 
417.00,0.010
417.50, 
418.00,0.010
418.50, 
419.00,0.010
419.50, 
420.00,0.010
420.50, 
421.00,0.010
421.50, 
422.00,0.010
422.50, 
423.00,0.010
423.50, 
424.00,0.009
424.50, 
425.00,0.009
425.50, 
426.00,0.009
426.50, 
427.00,0.009
427.50, 
428.00,0.009
428.50, 
429.00,0.009
429.50, 
430.00,0.008
430.50, 
431.00,0.008
431.50, 
432.00,0.008
432.50, 
433.00,0.008
433.50, 
434.00,0.008
434.50, 
435.00,0.008
435.50, 
436.00,0.008
436.50, 
437.00,0.008
437.50, 
438.00,0.008
438.50, 
439.00,0.007
439.50, 
440.00,0.007
440.50, 
441.00,0.007
441.50, 
442.00,0.007
442.50, 
443.00,0.007
443.50, 
444.00,0.007
444.50, 
445.00,0.007
445.50, 
446.00,0.007
446.50, 
447.00,0.007
447.50, 
448.00,0.006
448.50, 
449.00,0.006
449.50, 
450.00,0.006
450.50, 
451.00,0.006
451.50, 
452.00,0.006
452.50, 
453.00,0.006
453.50, 
454.00,0.006
454.50, 
455.00,0.006
455.50, 
456.00,0.006
456.50, 
457.00,0.006
457.50, 
458.00,0.005
458.50, 
459.00,0.005
459.50, 
460.00,0.005
460.50, 
461.00,0.005
461.50, 
462.00,0.005
462.50, 
463.00,0.005
463.50, 
464.00,0.005
464.50, 
465.00,0.005
465.50, 
466.00,0.005
466.50, 
467.00,0.005
467.50, 
468.00,0.005
468.50, 
469.00,0.005
469.50, 
470.00,0.005
470.50, 
471.00,0.005
471.50, 
472.00,0.005
472.50, 
473.00,0.005
473.50, 
474.00,0.005
474.50, 
475.00,0.005
475.50, 
476.00,0.004
476.50, 
477.00,0.004
477.50, 
478.00,0.004
478.50, 
479.00,0.004
479.50, 
480.00,0.004
480.50, 
481.00,0.004
481.50, 
482.00,0.004
482.50, 
483.00,0.004
483.50, 
484.00,0.004
484.50, 
485.00,0.004
485.50, 
486.00,0.004
486.50, 
487.00,0.004
487.50, 
488.00,0.004
488.50, 
489.00,0.004
489.50, 
490.00,0.004
490.50, 
491.00,0.004
491.50, 
492.00,0.003
492.50, 
493.00,0.003
493.50, 
494.00,0.003
494.50, 
495.00,0.003
495.50, 
496.00,0.003
496.50, 
497.00,0.003
497.50, 
498.00,0.003
498.50, 
499.00,0.003
499.50, 
500.00,0.003
500.50, 
501.00,0.003
501.50, 
502.00,0.003
502.50, 
503.00,0.003
503.50, 
504.00,0.003
504.50, 
505.00,0.003
505.50, 
506.00,0.003
506.50, 
507.00,0.003
507.50, 
508.00,0.003
508.50, 
509.00,0.003
509.50, 
510.00,0.003
510.50, 
511.00,0.003
511.50, 
512.00,0.003
512.50, 
513.00,0.003
513.50, 
514.00,0.003
514.50, 
515.00,0.003
515.50, 
516.00,0.002
516.50, 
517.00,0.002
517.50, 
518.00,0.002
518.50, 
519.00,0.002
519.50, 
520.00,0.002
520.50, 
521.00,0.002
521.50, 
522.00,0.002
522.50, 
523.00,0.002
523.50, 
524.00,0.002
524.50, 
525.00,0.002
525.50, 
526.00,0.002
526.50, 
527.00,0.002
527.50, 
528.00,0.002
528.50, 
529.00,0.002
529.50, 
530.00,0.002
530.50, 
531.00,0.002
531.50, 
532.00,0.002
532.50, 
533.00,0.002
533.50, 
534.00,0.002
534.50, 
535.00,0.002
535.50, 
536.00,0.002
536.50, 
537.00,0.002
537.50, 
538.00,0.002
538.50, 
539.00,0.002
539.50, 
540.00,0.002
540.50, 
541.00,0.001
541.50, 
542.00,0.001
542.50, 
543.00,0.001
543.50, 
544.00,0.001
544.50, 
545.00,0.001
545.50, 
546.00,0.001
546.50, 
547.00,0.001
547.50, 
548.00,0.001
548.50, 
549.00,0.001
549.50, 
550.00,0.001
550.50, 
551.00,0.001
551.50, 
552.00,0.001
552.50, 
553.00,0.001
553.50, 
554.00,0.001
554.50, 
555.00,0.001
555.50, 
556.00,0.001
556.50, 
557.00,0.001
557.50, 
558.00,0.001
558.50, 
559.00,0.001
559.50, 
560.00,0.001
560.50, 
561.00,0.001
561.50, 
562.00,0.001
562.50, 
563.00,0.001
563.50, 
564.00,0.001
564.50, 
565.00,0.001
565.50, 
566.00,0.001
566.50, 
567.00,0.001
567.50, 
568.00,0.001
568.50, 
569.00,0.001
569.50, 
570.00,0.001
570.50, 
571.00,0.001
571.50, 
572.00,0.001
572.50, 
573.00,0.001
573.50, 
574.00,0.001
574.50, 
575.00,0.001
575.50, 
576.00,0.001
576.50, 
577.00,0.001
577.50, 
578.00,0.001
578.50, 
579.00,0.001
579.50, 
580.00,0.001
580.50, 
581.00,0.001
581.50, 
582.00,0.001
582.50, 
583.00,0.001
583.50, 
584.00,0.001
584.50, 
585.00,0.001
585.50, 
586.00,0.001
586.50, 
587.00,0.001
587.50, 
588.00,0.001
588.50, 
589.00,0.001
589.50, 
590.00,0.001
590.50, 
591.00,0.001
591.50, 
592.00,0.001
592.50, 
593.00,0.001
593.50, 
594.00,0.001
594.50, 
595.00,0.001
595.50, 
596.00,0.001
596.50, 
597.00,0.001
597.50, 
598.00,0.001
598.50, 
599.00,0.001
599.50, 
600.00,0.000
600.50, 
601.00,0.000
601.50, 
602.00,0.000
602.50, 
603.00,0.000
603.50, 
604.00,0.000
604.50, 
605.00,0.000
605.50, 
606.00,0.000
606.50, 
607.00,0.000
607.50, 
608.00,0.000
608.50, 
609.00,0.000
609.50, 
610.00,0.000
610.50, 
611.00,0.000
611.50, 
612.00,0.000
612.50, 
613.00,0.000
613.50, 
614.00,0.000
614.50, 
615.00,0.000
615.50, 
616.00,0.000
616.50, 
617.00,0.000
617.50, 
618.00,0.000
618.50, 
619.00,0.000
619.50, 
620.00,0.000
620.50, 
621.00,0.000
621.50, 
622.00,0.000
622.50, 
623.00,0.000
623.50, 
624.00,0.000
624.50, 
625.00,0.000
625.50, 
626.00,0.000
626.50, 
627.00,0.000
627.50, 
628.00,0.000
628.50, 
629.00,0.000
629.50, 
630.00,-0.000
630.50, 
631.00,-0.000
631.50, 
632.00,0.000
632.50, 
633.00,0.000
633.50, 
634.00,0.000
634.50, 
635.00,0.000
635.50, 
636.00,0.000
636.50, 
637.00,0.000
637.50, 
638.00,0.000
638.50, 
639.00,0.000
639.50, 
640.00,0.000
640.50, 
641.00,0.000
641.50, 
642.00,0.000
642.50, 
643.00,0.000
643.50, 
644.00,0.000
644.50, 
645.00,0.000
645.50, 
646.00,0.000
646.50, 
647.00,0.000
647.50, 
648.00,0.000
648.50, 
649.00,0.000
649.50, 
650.00,0.000
650.50, 
651.00,0.000
651.50, 
652.00,0.000
652.50, 
653.00,0.000
653.50, 
654.00,0.000
654.50, 
655.00,0.000
655.50, 
656.00,0.000
656.50, 
657.00,0.000
657.50, 
658.00,0.000
658.50, 
659.00,0.000
659.50, 
660.00,0.000
660.50, 
