"164430 - RawData - C:\Users\User\Documents\Marte\Analysis\23-022\23-022C Trial 2u.spc"
"Wavelength nm.","Abs."
200.00,1.691
200.50, 
201.00,1.654
201.50, 
202.00,1.579
202.50, 
203.00,1.515
203.50, 
204.00,1.457
204.50, 
205.00,1.396
205.50, 
206.00,1.342
206.50, 
207.00,1.292
207.50, 
208.00,1.246
208.50, 
209.00,1.204
209.50, 
210.00,1.159
210.50, 
211.00,1.114
211.50, 
212.00,1.071
212.50, 
213.00,1.025
213.50, 
214.00,0.979
214.50, 
215.00,0.933
215.50, 
216.00,0.890
216.50, 
217.00,0.849
217.50, 
218.00,0.811
218.50, 
219.00,0.775
219.50, 
220.00,0.740
220.50, 
221.00,0.708
221.50, 
222.00,0.677
222.50, 
223.00,0.649
223.50, 
224.00,0.623
224.50, 
225.00,0.598
225.50, 
226.00,0.576
226.50, 
227.00,0.558
227.50, 
228.00,0.544
228.50, 
229.00,0.532
229.50, 
230.00,0.524
230.50, 
231.00,0.519
231.50, 
232.00,0.516
232.50, 
233.00,0.515
233.50, 
234.00,0.517
234.50, 
235.00,0.520
235.50, 
236.00,0.526
236.50, 
237.00,0.534
237.50, 
238.00,0.543
238.50, 
239.00,0.555
239.50, 
240.00,0.567
240.50, 
241.00,0.581
241.50, 
242.00,0.596
242.50, 
243.00,0.612
243.50, 
244.00,0.629
244.50, 
245.00,0.645
245.50, 
246.00,0.663
246.50, 
247.00,0.680
247.50, 
248.00,0.698
248.50, 
249.00,0.715
249.50, 
250.00,0.730
250.50, 
251.00,0.744
251.50, 
252.00,0.754
252.50, 
253.00,0.762
253.50, 
254.00,0.769
254.50, 
255.00,0.774
255.50, 
256.00,0.778
256.50, 
257.00,0.780
257.50, 
258.00,0.780
258.50, 
259.00,0.776
259.50, 
260.00,0.768
260.50, 
261.00,0.757
261.50, 
262.00,0.744
262.50, 
263.00,0.731
263.50, 
264.00,0.718
264.50, 
265.00,0.704
265.50, 
266.00,0.690
266.50, 
267.00,0.677
267.50, 
268.00,0.663
268.50, 
269.00,0.648
269.50, 
270.00,0.633
270.50, 
271.00,0.618
271.50, 
272.00,0.602
272.50, 
273.00,0.587
273.50, 
274.00,0.571
274.50, 
275.00,0.555
275.50, 
276.00,0.540
