"164312 - RawData - C:\Users\User\Documents\Marte\Analysis\23-022\23-022C Trial 1u.spc"
"Wavelength nm.","Abs."
424.00,0.708
424.50, 
425.00,0.704
425.50, 
426.00,0.699
426.50, 
427.00,0.694
427.50, 
428.00,0.689
428.50, 
429.00,0.685
429.50, 
430.00,0.681
430.50, 
431.00,0.676
431.50, 
432.00,0.671
432.50, 
433.00,0.667
433.50, 
434.00,0.662
434.50, 
435.00,0.657
435.50, 
436.00,0.653
436.50, 
437.00,0.648
437.50, 
438.00,0.643
438.50, 
439.00,0.637
439.50, 
440.00,0.632
440.50, 
441.00,0.627
441.50, 
442.00,0.620
442.50, 
443.00,0.614
443.50, 
444.00,0.608
444.50, 
445.00,0.601
445.50, 
446.00,0.594
446.50, 
447.00,0.586
447.50, 
448.00,0.578
448.50, 
449.00,0.569
449.50, 
450.00,0.560
450.50, 
451.00,0.550
451.50, 
452.00,0.540
452.50, 
453.00,0.530
453.50, 
454.00,0.520
454.50, 
455.00,0.509
455.50, 
456.00,0.498
456.50, 
457.00,0.487
457.50, 
458.00,0.476
458.50, 
459.00,0.465
459.50, 
460.00,0.454
460.50, 
461.00,0.443
461.50, 
462.00,0.432
462.50, 
463.00,0.420
463.50, 
464.00,0.409
464.50, 
465.00,0.399
465.50, 
466.00,0.388
466.50, 
467.00,0.377
467.50, 
468.00,0.367
468.50, 
469.00,0.357
469.50, 
470.00,0.346
470.50, 
471.00,0.336
471.50, 
472.00,0.325
472.50, 
473.00,0.314
473.50, 
474.00,0.303
474.50, 
475.00,0.292
475.50, 
476.00,0.281
476.50, 
477.00,0.269
477.50, 
478.00,0.258
478.50, 
479.00,0.247
479.50, 
480.00,0.235
480.50, 
481.00,0.223
481.50, 
482.00,0.210
482.50, 
483.00,0.198
483.50, 
484.00,0.187
484.50, 
485.00,0.176
485.50, 
486.00,0.165
486.50, 
487.00,0.154
487.50, 
488.00,0.144
488.50, 
489.00,0.134
489.50, 
490.00,0.125
490.50, 
491.00,0.116
491.50, 
492.00,0.108
492.50, 
493.00,0.100
493.50, 
494.00,0.093
494.50, 
495.00,0.087
495.50, 
496.00,0.081
496.50, 
497.00,0.075
497.50, 
498.00,0.070
498.50, 
499.00,0.066
499.50, 
500.00,0.062
500.50, 
501.00,0.059
501.50, 
502.00,0.056
502.50, 
503.00,0.054
503.50, 
504.00,0.052
504.50, 
505.00,0.050
505.50, 
506.00,0.049
506.50, 
507.00,0.047
507.50, 
508.00,0.047
508.50, 
509.00,0.046
509.50, 
510.00,0.045
510.50, 
511.00,0.045
511.50, 
512.00,0.045
512.50, 
513.00,0.045
513.50, 
514.00,0.046
514.50, 
515.00,0.046
515.50, 
516.00,0.046
516.50, 
517.00,0.047
517.50, 
518.00,0.048
518.50, 
519.00,0.049
519.50, 
520.00,0.050
520.50, 
521.00,0.051
521.50, 
522.00,0.052
522.50, 
523.00,0.053
523.50, 
524.00,0.055
524.50, 
525.00,0.056
525.50, 
526.00,0.058
526.50, 
527.00,0.059
527.50, 
528.00,0.061
528.50, 
529.00,0.063
529.50, 
530.00,0.065
530.50, 
531.00,0.067
531.50, 
532.00,0.069
532.50, 
533.00,0.071
533.50, 
534.00,0.073
534.50, 
535.00,0.076
535.50, 
536.00,0.078
536.50, 
537.00,0.081
537.50, 
538.00,0.085
538.50, 
539.00,0.087
539.50, 
540.00,0.090
540.50, 
541.00,0.093
541.50, 
542.00,0.097
542.50, 
543.00,0.100
543.50, 
544.00,0.104
544.50, 
545.00,0.107
545.50, 
546.00,0.111
546.50, 
547.00,0.115
547.50, 
548.00,0.119
548.50, 
549.00,0.123
549.50, 
550.00,0.128
550.50, 
551.00,0.133
551.50, 
552.00,0.137
552.50, 
553.00,0.143
553.50, 
554.00,0.148
554.50, 
555.00,0.154
555.50, 
556.00,0.159
556.50, 
557.00,0.166
557.50, 
558.00,0.172
558.50, 
559.00,0.179
559.50, 
560.00,0.186
560.50, 
561.00,0.193
561.50, 
562.00,0.201
562.50, 
563.00,0.209
563.50, 
564.00,0.217
564.50, 
565.00,0.225
565.50, 
566.00,0.233
566.50, 
567.00,0.241
567.50, 
568.00,0.250
568.50, 
569.00,0.258
569.50, 
570.00,0.267
570.50, 
571.00,0.276
571.50, 
572.00,0.285
572.50, 
573.00,0.294
573.50, 
574.00,0.303
574.50, 
575.00,0.312
575.50, 
576.00,0.321
576.50, 
577.00,0.329
577.50, 
578.00,0.337
578.50, 
579.00,0.345
579.50, 
580.00,0.354
580.50, 
581.00,0.362
581.50, 
582.00,0.370
582.50, 
583.00,0.378
583.50, 
584.00,0.387
584.50, 
585.00,0.395
585.50, 
586.00,0.404
586.50, 
587.00,0.412
587.50, 
588.00,0.421
588.50, 
589.00,0.429
589.50, 
590.00,0.438
590.50, 
591.00,0.447
591.50, 
592.00,0.457
592.50, 
593.00,0.466
593.50, 
594.00,0.477
594.50, 
595.00,0.489
595.50, 
596.00,0.501
596.50, 
597.00,0.514
597.50, 
598.00,0.527
598.50, 
599.00,0.541
599.50, 
600.00,0.556
600.50, 
601.00,0.573
601.50, 
602.00,0.590
602.50, 
603.00,0.609
603.50, 
604.00,0.628
604.50, 
605.00,0.648
605.50, 
606.00,0.670
606.50, 
607.00,0.693
607.50, 
608.00,0.716
608.50, 
609.00,0.741
609.50, 
610.00,0.766
610.50, 
611.00,0.793
611.50, 
612.00,0.820
612.50, 
613.00,0.847
613.50, 
614.00,0.874
614.50, 
615.00,0.901
615.50, 
616.00,0.928
616.50, 
617.00,0.955
617.50, 
618.00,0.982
618.50, 
619.00,1.007
619.50, 
620.00,1.032
620.50, 
621.00,1.056
621.50, 
622.00,1.077
622.50, 
623.00,1.097
623.50, 
624.00,1.114
624.50, 
625.00,1.128
625.50, 
626.00,1.139
626.50, 
627.00,1.148
627.50, 
628.00,1.154
628.50, 
629.00,1.157
629.50, 
630.00,1.155
630.50, 
631.00,1.150
631.50, 
632.00,1.141
632.50, 
633.00,1.127
633.50, 
634.00,1.109
634.50, 
635.00,1.087
635.50, 
636.00,1.062
636.50, 
637.00,1.035
637.50, 
638.00,1.005
638.50, 
639.00,0.970
639.50, 
640.00,0.934
640.50, 
641.00,0.896
641.50, 
642.00,0.857
642.50, 
643.00,0.817
643.50, 
644.00,0.777
644.50, 
645.00,0.738
645.50, 
646.00,0.697
646.50, 
647.00,0.656
647.50, 
648.00,0.616
648.50, 
649.00,0.578
649.50, 
650.00,0.543
650.50, 
651.00,0.508
651.50, 
652.00,0.475
652.50, 
653.00,0.443
653.50, 
654.00,0.412
654.50, 
655.00,0.381
655.50, 
656.00,0.353
656.50, 
657.00,0.328
657.50, 
658.00,0.304
658.50, 
659.00,0.281
659.50, 
660.00,0.259
660.50, 
661.00,0.239
661.50, 
662.00,0.220
662.50, 
663.00,0.203
663.50, 
664.00,0.186
664.50, 
665.00,0.172
665.50, 
666.00,0.159
666.50, 
667.00,0.146
667.50, 
668.00,0.135
668.50, 
669.00,0.124
669.50, 
670.00,0.115
670.50, 
671.00,0.106
671.50, 
672.00,0.098
672.50, 
673.00,0.090
673.50, 
674.00,0.083
674.50, 
675.00,0.077
675.50, 
676.00,0.071
676.50, 
677.00,0.066
677.50, 
678.00,0.061
678.50, 
679.00,0.056
679.50, 
680.00,0.052
680.50, 
681.00,0.047
681.50, 
682.00,0.044
682.50, 
683.00,0.040
683.50, 
684.00,0.037
684.50, 
685.00,0.035
685.50, 
686.00,0.032
686.50, 
687.00,0.029
687.50, 
688.00,0.027
688.50, 
689.00,0.025
689.50, 
690.00,0.023
690.50, 
691.00,0.021
691.50, 
692.00,0.019
692.50, 
693.00,0.018
693.50, 
694.00,0.016
694.50, 
695.00,0.015
695.50, 
696.00,0.014
696.50, 
697.00,0.014
697.50, 
698.00,0.013
698.50, 
699.00,0.012
699.50, 
700.00,0.011
700.50, 
701.00,0.011
701.50, 
702.00,0.010
702.50, 
703.00,0.010
703.50, 
704.00,0.009
704.50, 
705.00,0.009
705.50, 
706.00,0.008
706.50, 
707.00,0.008
707.50, 
708.00,0.008
708.50, 
709.00,0.007
709.50, 
710.00,0.007
710.50, 
711.00,0.007
711.50, 
712.00,0.007
712.50, 
713.00,0.006
713.50, 
714.00,0.006
714.50, 
715.00,0.006
715.50, 
716.00,0.006
716.50, 
717.00,0.006
717.50, 
718.00,0.006
718.50, 
719.00,0.005
719.50, 
720.00,0.005
720.50, 
721.00,0.005
721.50, 
722.00,0.005
722.50, 
723.00,0.005
723.50, 
724.00,0.005
724.50, 
725.00,0.005
725.50, 
726.00,0.005
726.50, 
727.00,0.005
727.50, 
728.00,0.004
728.50, 
729.00,0.004
729.50, 
730.00,0.004
730.50, 
731.00,0.004
731.50, 
732.00,0.004
732.50, 
733.00,0.004
733.50, 
734.00,0.004
734.50, 
735.00,0.004
735.50, 
736.00,0.004
736.50, 
737.00,0.004
737.50, 
738.00,0.004
738.50, 
739.00,0.004
739.50, 
740.00,0.004
740.50, 
741.00,0.004
741.50, 
742.00,0.004
742.50, 
743.00,0.004
743.50, 
744.00,0.004
744.50, 
745.00,0.004
745.50, 
746.00,0.004
746.50, 
747.00,0.004
747.50, 
748.00,0.004
748.50, 
749.00,0.004
749.50, 
750.00,0.004
750.50, 
751.00,0.004
751.50, 
752.00,0.004
752.50, 
753.00,0.004
753.50, 
754.00,0.004
754.50, 
755.00,0.003
755.50, 
756.00,0.003
756.50, 
757.00,0.003
757.50, 
758.00,0.003
758.50, 
759.00,0.004
759.50, 
760.00,0.004
760.50, 
761.00,0.004
761.50, 
762.00,0.004
762.50, 
763.00,0.004
763.50, 
764.00,0.004
764.50, 
765.00,0.004
765.50, 
766.00,0.004
766.50, 
767.00,0.004
767.50, 
768.00,0.004
768.50, 
769.00,0.004
769.50, 
770.00,0.004
770.50, 
771.00,0.004
771.50, 
772.00,0.003
772.50, 
773.00,0.003
773.50, 
774.00,0.003
774.50, 
775.00,0.003
775.50, 
776.00,0.004
776.50, 
777.00,0.003
777.50, 
778.00,0.003
778.50, 
779.00,0.003
779.50, 
780.00,0.003
780.50, 
781.00,0.003
781.50, 
782.00,0.004
782.50, 
783.00,0.003
783.50, 
784.00,0.003
784.50, 
785.00,0.003
785.50, 
786.00,0.003
786.50, 
787.00,0.003
787.50, 
788.00,0.003
788.50, 
789.00,0.003
789.50, 
790.00,0.003
790.50, 
791.00,0.003
791.50, 
792.00,0.003
792.50, 
793.00,0.003
793.50, 
794.00,0.003
794.50, 
795.00,0.003
795.50, 
796.00,0.003
796.50, 
797.00,0.003
797.50, 
798.00,0.003
798.50, 
799.00,0.003
799.50, 
800.00,0.003
800.50, 
801.00,0.003
801.50, 
802.00,0.003
802.50, 
803.00,0.003
803.50, 
804.00,0.003
804.50, 
805.00,0.003
805.50, 
806.00,0.003
806.50, 
807.00,0.003
807.50, 
808.00,0.003
808.50, 
809.00,0.003
809.50, 
810.00,0.003
810.50, 
811.00,0.003
811.50, 
812.00,0.003
812.50, 
813.00,0.003
813.50, 
814.00,0.003
814.50, 
815.00,0.003
815.50, 
816.00,0.003
816.50, 
817.00,0.003
817.50, 
818.00,0.003
818.50, 
819.00,0.003
819.50, 
820.00,0.003
820.50, 
821.00,0.003
821.50, 
822.00,0.003
822.50, 
823.00,0.003
823.50, 
824.00,0.003
824.50, 
825.00,0.003
825.50, 
826.00,0.003
826.50, 
827.00,0.003
827.50, 
828.00,0.003
828.50, 
829.00,0.003
829.50, 
830.00,0.003
830.50, 
831.00,0.003
831.50, 
832.00,0.003
832.50, 
833.00,0.003
833.50, 
834.00,0.003
834.50, 
835.00,0.003
835.50, 
836.00,0.003
836.50, 
837.00,0.003
837.50, 
838.00,0.003
838.50, 
839.00,0.003
839.50, 
840.00,0.003
840.50, 
841.00,0.003
841.50, 
842.00,0.003
842.50, 
843.00,0.003
843.50, 
844.00,0.003
844.50, 
845.00,0.003
845.50, 
846.00,0.003
846.50, 
847.00,0.003
847.50, 
848.00,0.003
848.50, 
849.00,0.003
849.50, 
850.00,0.003
850.50, 
851.00,0.003
851.50, 
852.00,0.004
852.50, 
853.00,0.004
853.50, 
854.00,0.004
854.50, 
855.00,0.004
855.50, 
856.00,0.004
856.50, 
857.00,0.004
857.50, 
858.00,0.004
858.50, 
859.00,0.004
859.50, 
860.00,0.004
860.50, 
861.00,0.004
861.50, 
862.00,0.004
862.50, 
863.00,0.004
863.50, 
864.00,0.004
864.50, 
865.00,0.004
865.50, 
866.00,0.004
866.50, 
867.00,0.004
867.50, 
868.00,0.004
868.50, 
869.00,0.003
869.50, 
870.00,0.003
870.50, 
871.00,0.003
871.50, 
872.00,0.003
872.50, 
873.00,0.003
873.50, 
874.00,0.003
874.50, 
875.00,0.003
875.50, 
876.00,0.003
876.50, 
877.00,0.003
877.50, 
878.00,0.003
878.50, 
